position,video_id,url,title,published_at,duration_seconds,is_short
16,B7LAXhSVmOc,https://www.youtube.com/watch?v=B7LAXhSVmOc,Simplifying Complex Tech for Marketers,2024-08-08T11:28:44Z,1955,false
17,64HxR8YLcf0,https://www.youtube.com/watch?v=64HxR8YLcf0,The Importance of a Documented Channel Plan,2024-11-13T12:30:00Z,2024,false
18,433hYlh7H_8,https://www.youtube.com/watch?v=433hYlh7H_8,How to Build a Founder-led Content Series,2025-07-21T13:37:59Z,1740,false
19,EJyBx3T5FB4,https://www.youtube.com/watch?v=EJyBx3T5FB4,How Smart Marketers Build Websites That Convert,2025-08-06T21:26:24Z,1504,false
20,DQUcZzJgld8,https://www.youtube.com/watch?v=DQUcZzJgld8,Boost Website Trust Without Overwhelming Visitors,2025-08-12T12:27:52Z,57,true
21,TOz_kDGfCEM,https://www.youtube.com/watch?v=TOz_kDGfCEM,Guide Visitors with Purpose and Build Instant Trust,2025-08-12T12:31:26Z,83,false
22,aOJCk6dxVM8,https://www.youtube.com/watch?v=aOJCk6dxVM8,Start Your Website with a Goal and a Clear Audience,2025-08-12T12:41:11Z,95,false
23,ST3H7RGazfs,https://www.youtube.com/watch?v=ST3H7RGazfs,Turn Your Website into a Customer-Focused Marketing Tool,2025-08-12T12:46:49Z,115,false
24,dfCbwZyDPsY,https://www.youtube.com/watch?v=dfCbwZyDPsY,Knowing When to Adjust Strategy vs. Tactics,2025-08-14T17:09:26Z,812,false
25,JrQvpKQi_v4,https://www.youtube.com/watch?v=JrQvpKQi_v4,How to Know When It’s Time to Rethink Your Entire Strategy,2025-08-15T14:10:19Z,38,true
26,7_e-DSoiu4w,https://www.youtube.com/watch?v=7_e-DSoiu4w,How to Read the Signals and Fix What’s Really Holding Back Conversions,2025-08-15T14:27:53Z,65,false
27,HQbAYogWAgs,https://www.youtube.com/watch?v=HQbAYogWAgs,Fixed vs. Fluid: Structuring Marketing Plans,2025-08-15T14:34:10Z,93,false
28,mGgt2ZJyAnI,https://www.youtube.com/watch?v=mGgt2ZJyAnI,"When to Rethink Strategy, Not Just Tactics",2025-08-15T14:44:19Z,106,false
29,RUf2dYbnZQ4,https://www.youtube.com/watch?v=RUf2dYbnZQ4,Why Progress Beats Perfection in Marketing,2025-08-28T20:14:28Z,877,false
30,aLnGwSnCun0,https://www.youtube.com/watch?v=aLnGwSnCun0,How Small Wins Drive Faster Marketing Progress,2025-08-28T21:26:13Z,42,true
31,XIQfDZMwg3c,https://www.youtube.com/watch?v=XIQfDZMwg3c,Why Focusing on One Fix Builds Trust and Better Results,2025-08-28T21:28:57Z,56,true
32,_WhkIFMZGmM,https://www.youtube.com/watch?v=_WhkIFMZGmM,How to Spot the Difference Between Planning and Procrastinating,2025-08-28T21:32:02Z,72,false
33,MqftbmbfbSg,https://www.youtube.com/watch?v=MqftbmbfbSg,Why Testing Beats Assumptions in Campaign Strategy,2025-08-28T21:35:57Z,76,false
34,QMfYz7qDJI8,https://www.youtube.com/watch?v=QMfYz7qDJI8,From Planning to Launch: The Mindset Shift That Speeds Up Marketing,2025-08-28T21:48:18Z,117,false
35,smb6-ZCBlPk,https://www.youtube.com/watch?v=smb6-ZCBlPk,How to Create Great Content for B2B Tech,2025-09-11T13:41:36Z,1110,false
36,NprnEXH6zJE,https://www.youtube.com/watch?v=NprnEXH6zJE,Why Surface-Level Content Fails in B2B,2025-09-11T15:05:12Z,74,false
37,EGQWzePJ1Xk,https://www.youtube.com/watch?v=EGQWzePJ1Xk,Stop Marketing to Everyone in B2B,2025-09-11T15:09:46Z,54,true
38,XlKcPdHoWVk,https://www.youtube.com/watch?v=XlKcPdHoWVk,Why Blogs Alone Won't Cut It Anymore,2025-09-11T15:16:35Z,35,true
39,iw-0OdWncIg,https://www.youtube.com/watch?v=iw-0OdWncIg,Content Strategy Starts with Specificity,2025-09-11T15:21:04Z,45,true
40,1S0HHsyZqoE,https://www.youtube.com/watch?v=1S0HHsyZqoE,Crafting ABM Messaging That Converts,2025-09-25T12:51:11Z,1468,false
41,uuLvzLZKkPE,https://www.youtube.com/watch?v=uuLvzLZKkPE,Turning Pain Points Into Offers That Win Deals,2025-09-26T16:23:20Z,45,true
42,wIQBhM1-rh8,https://www.youtube.com/watch?v=wIQBhM1-rh8,Why ABM Campaigns Need Frequency and Variety,2025-09-26T16:29:01Z,51,true
43,OrD12gWQuqE,https://www.youtube.com/watch?v=OrD12gWQuqE,The Difference Between Resources and Real Offers,2025-09-26T16:39:20Z,95,false
44,eTxkLNkWtyI,https://www.youtube.com/watch?v=eTxkLNkWtyI,One Offer Many Messages The Key to ABM Success,2025-09-26T16:43:08Z,123,false
45,433XFLnZRp8,https://www.youtube.com/watch?v=433XFLnZRp8,Attributes of a Good Landing Page,2025-10-09T14:19:07Z,1428,false
46,QUrsppBTOBI,https://www.youtube.com/watch?v=QUrsppBTOBI,Why Your Homepage Isn’t Built for Campaigns,2025-10-09T21:45:51Z,42,true
47,XOzzh805YXA,https://www.youtube.com/watch?v=XOzzh805YXA,How to Make Landing Pages Feel Personal to Every Buyer,2025-10-09T21:54:50Z,46,true
48,mvx87tNHE-U,https://www.youtube.com/watch?v=mvx87tNHE-U,Stop Sending Everyone the Same Ad and Landing Page,2025-10-09T21:57:31Z,60,true
49,-Jdsay1NLx8,https://www.youtube.com/watch?v=-Jdsay1NLx8,The Most Overlooked Element on B2B Landing Pages,2025-10-09T22:00:18Z,90,false
50,yYGBZVJAtGc,https://www.youtube.com/watch?v=yYGBZVJAtGc,Why Conversion Rate Is the KPI That Matters Most,2025-10-09T22:02:47Z,128,false
51,sXD21Nos0ZE,https://www.youtube.com/watch?v=sXD21Nos0ZE,Why Most Listeners Don’t Care About Your Background,2025-10-23T14:32:49Z,49,true
52,LMrJlhcZJ8s,https://www.youtube.com/watch?v=LMrJlhcZJ8s,Why Your Podcast Can’t Just Be Two People Chatting,2025-10-23T14:40:23Z,42,true
53,t65QJ8oXUkg,https://www.youtube.com/watch?v=t65QJ8oXUkg,How One Podcast Fuels Your Entire B2B Marketing Strategy,2025-10-23T14:44:45Z,74,false
54,tDcqog4_rs0,https://www.youtube.com/watch?v=tDcqog4_rs0,The Key to Consistent B2B Content Isn’t What You Think,2025-10-23T14:47:08Z,118,false
55,JFH2zIwXAP0,https://www.youtube.com/watch?v=JFH2zIwXAP0,Measuring the ROI of Content,2025-11-06T15:26:14Z,1592,false
56,Ff-l9-WiMIw,https://www.youtube.com/watch?v=Ff-l9-WiMIw,Why Every Business Needs Table Stakes Marketing,2025-11-06T17:58:14Z,69,false
57,8md1rZkEZ5M,https://www.youtube.com/watch?v=8md1rZkEZ5M,How to Justify Marketing Spend Without Expensive Attribution Tools,2025-11-06T18:08:40Z,72,false
58,b1abSsQkxHM,https://www.youtube.com/watch?v=b1abSsQkxHM,Why Consistent Marketing Builds Trust Even Without Immediate ROI,2025-11-06T18:13:57Z,77,false
59,g95ha9EQ9Ow,https://www.youtube.com/watch?v=g95ha9EQ9Ow,Content Marketing Takes Time to Pay Off,2025-11-06T18:18:07Z,72,false
60,_0FMS7BslFg,https://www.youtube.com/watch?v=_0FMS7BslFg,How B2B Marketers Can Measure Success Beyond Lead Generation,2025-11-06T18:22:07Z,131,false
61,qaVxAWZFTwM,https://www.youtube.com/watch?v=qaVxAWZFTwM,Why Every B2B Team Needs a Documented Marketing Roadmap,2026-01-08T15:03:30Z,1355,false
62,Q52Wec6dbPY,https://www.youtube.com/watch?v=Q52Wec6dbPY,Why Small Marketing Budgets Fail When Outsourced,2026-01-08T17:44:37Z,64,false
63,WDHgNty4Zo4,https://www.youtube.com/watch?v=WDHgNty4Zo4,How to Tell if You Actually Have a Marketing Strategy,2026-01-08T17:49:03Z,102,false
64,9BS6_L4bX2I,https://www.youtube.com/watch?v=9BS6_L4bX2I,Why Your $500 Ad Budget Can’t Compete Without a Strategy,2026-01-08T17:54:21Z,56,true
65,E1vw4QfOYyo,https://www.youtube.com/watch?v=E1vw4QfOYyo,Why Marketing Can’t Drive Growth if It’s Treated as an Afterthought,2026-01-08T17:58:30Z,66,false
66,mw-ftZ7qlo4,https://www.youtube.com/watch?v=mw-ftZ7qlo4,What to Include in a Marketing Roadmap When You're Just Starting Out,2026-01-08T18:04:50Z,57,true
67,5ObjPNWrkw0,https://www.youtube.com/watch?v=5ObjPNWrkw0,"Scrappy vs Enterprise ABM (Tools, Budget & Setup)",2026-01-22T14:31:34Z,1648,false
68,Ujj-ZaI-4R8,https://www.youtube.com/watch?v=Ujj-ZaI-4R8,How to Start ABM with a Lean Tech Stack and Omnichannel Strategy,2026-01-26T16:47:30Z,138,false
69,-YW4jb5SYMo,https://www.youtube.com/watch?v=-YW4jb5SYMo,How Much ABM Really Costs for Small Marketing Teams,2026-01-26T16:52:47Z,80,false
70,UHUCMQty8Pw,https://www.youtube.com/watch?v=UHUCMQty8Pw,Building a Multi-Layer ABM Strategy Without Enterprise Tools,2026-01-26T17:43:57Z,46,true
71,khHfYmIA0UA,https://www.youtube.com/watch?v=khHfYmIA0UA,"Scrappy ABM Tech Stack: What You Get for $500 to $1,500 a Month",2026-01-26T17:47:06Z,47,true
72,WExuQuTEt4w,https://www.youtube.com/watch?v=WExuQuTEt4w,"ABM Success Starts with the Right Offer, Not the Right Tools",2026-01-26T17:50:59Z,46,true
